Ações por Índice
Dados de 5 a 8 de 2023
Empresa;Código;Índices dos quais participa
FII FATOR VE;CI;VRTA11;IFIL,IFIX;
FII G TOWERS;CI;GTWR11;IFIL,IFIX;
FII GGRCOVEP;CI;GGRC11;IFIL,IFIX;
FII GUARDIAN;CI;GALG11;IFIX;
FII HABIT II;CI;HABT11;IFIL,IFIX;
FII HECTARE;CI;HCTR11;IFIL,IFIX;
FII HEDGEBS;CI;HGBS11;IFIL,IFIX;
FII HG REAL;CI;HGRE11;IFIL,IFIX;
FII HSI CRI;CI;HSAF11;IFIX;
FII HSI LOG;CI;HSLG11;IFIX;
FII HSI MALL;CI;HSML11;IFIL,IFIX;
FII HTOPFOF3;CI;HFOF11;IFIL,IFIX;
FII IRIDIUM;CI;IRDM11;IFIL,IFIX;
FII JPPA CRI;CI;JPPA11;IFIX;
FII JS A FIN;CI;JSAF11;IFIX;
FII JS REAL;CI;JSRE11;IFIL,IFIX;
FII KILIMA;CI;KISU11;IFIL,IFIX;
FII KINEA;CI;KNRI11;IFIL,IFIX;
FII KINEA CR;CI;KCRE11;IFIX;
FII KINEA HY;CI;KNHY11;IFIL,IFIX;
FII KINEA IP;CI;KNIP11;IFIL,IFIX;
FII KINEA RI;CI;KNCR11;IFIL,IFIX;
FII KINEA SC;CI;KNSC11;IFIL,IFIX;
FII KINEAFOF;CI;KFOF11;IFIX;
FII LGCP INT;CI;LGCP11;IFIX;
FII MALLS BP;CI;MALL11;IFIL,IFIX;
FII MAUA;CI;MCCI11;IFIL,IFIX;
FII MAUA HF;CI;MCHF11;IFIL,IFIX;
FII MAXI REN;CI;MXRF11;IFIL,IFIX;
FII MERITO I;CI;MFII11;IFIX;
FII MOGNO;CI;MGFF11;IFIL,IFIX;
FII MORE CRI;CI;MORC11;IFIX;
FII MORE RE;CI;MORE11;IFIX;
FII NCH BR;CI;NCHB11;IFIX;
FII OURI JPP;CI;OUJP11;IFIX;
FII PATR LOG;CI;PATL11;IFIL,IFIX;
FII PLURAL R;CI;PLCR11;IFIX;
FII POLO CRI;CI;PORD11;IFIX;
FII QUASAR A;CI;QAGR11;IFIX;
FII RBR LOG;CI;RBRL11;IFIX;
FII RBR PCRI;CI;RBRY11;IFIL,IFIX;
FII RBR PROP;CI;RBRP11;IFIL,IFIX;
FII RBRALPHA;CI;RBRF11;IFIL,IFIX;
FII RBRHGRAD;CI;RBRR11;IFIL,IFIX;
FII REC RECE;CI;RECR11;IFIL,IFIX;
FII REC REND;CI;RECT11;IFIX;
FII RIOB FF;CI;RBFF11;IFIX;
FII RIOB RC;CI;RCRB11;IFIX;
FII RIOB VA;CI;RBVA11;IFIL,IFIX;
FII RIZA AKN;CI;RZAK11;IFIL,IFIX;
FII RIZA TX;CI;RZTR11;IFIL,IFIX;
FII SANT PAP;CI;SADI11;IFIX;
FII SANT REN;CI;SARE11;IFIL,IFIX;
FII SDI LOG;CI;SDIL11;IFIL,IFIX;
FII SUNO CRI;CI;SNCI11;IFIL,IFIX;
FII SUNOFOFI;CI;SNFF11;IFIX;
FII TEL PROP;CI;TEPP11;IFIX;
FII TG ATIVO;CI;TGAR11;IFIL,IFIX;
FII TORDE EI;CI;TORD11;IFIL,IFIX;
FII TRX REAL;CI;TRXF11;IFIL,IFIX;
FII URCA REN;CI;URPR11;IFIL,IFIX;
FII VALOR HE;CI;VGHF11;IFIL,IFIX;
FII VALORAIP;CI;VGIP11;IFIL,IFIX;
FII VALREIII;CI;VGIR11;IFIL,IFIX;
FII VBI CRI;CI;CVBI11;IFIL,IFIX;
FII VBI LOG;CI;LVBI11;IFIL,IFIX;
FII VBI PRI;CI;PVBI11;IFIL,IFIX;
FII VECTIS;CI;VCJR11;IFIL,IFIX;
FII VERS CRI;CI;VSLH11;IFIL,IFIX;
FII VINCI CR;CI;VCRI11;IFIX;
FII VINCI IU;CI;VIUR11;IFIX;
FII VINCI LG;CI;VILG11;IFIL,IFIX;
FII VINCI OF;CI;VINO11;IFIL,IFIX;
FII VINCI SC;CI;VISC11;IFIL,IFIX;
FII VOT LOG;CI;VTLT11;IFIX;
FII WHG REAL;CI;WHGR11;IFIX;
FII XP CRED;CI;XPCI11;IFIL,IFIX;
FII XP INDL;CI;XPIN11;IFIX;
FII XP LOG;CI;XPLG11;IFIL,IFIX;
FII XP MALLS;CI;XPML11;IFIL,IFIX;
FII XP PROP;CI;XPPR11;IFIL,IFIX;
FII XP SELEC;CI;XPSF11;IFIL,IFIX;
FIRST SOLAR;DRN;FSLR34;BDRX;
FLEURY;ON   NM;FLRY3;IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL;
FORD MOTORS;DRN;FDMO34;BDRX;
FRAS-LE;ON   N1;FRAS3;IGCX;
FREEPORT;DRN;FCXO34;BDRX;
GAFISA;ON   NM;GFSA3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,IMOB,INDX,ISEE,ITAG,SMLL;
GE;DRN;GEOO34;BDRX;
GENERAL MOT;DRN;GMCO34;BDRX;
GER PARANAP;PN;GEPA4;ITAG;
GERDAU;ON   N1;GGBR3;IGCX,ITAG;
GERDAU;PN   N1;GGBR4;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,MLCX;
GERDAU MET;ON   N1;GOAU3;IGCX,ITAG;
GERDAU MET;PN   N1;GOAU4;IBOV,IBRA,IBXX,IDIV,IGCT,IGCX,IMAT,INDX,ITAG,IVBX,SMLL;
GETNINJAS;ON   NM;NINJ3;IGCX,IGNM,ITAG;
GOL;PN   N2;GOLL4;IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,ITAG,IVBX,SMLL;
GOLDMANSACHS;DRN;GSGI34;BDRX;
GPS;ON   NM;GGPS3;IBRA,IGCT,IGCX,IGNM,ITAG,SMLL;
GRAZZIOTIN;ON;CGRA3;ITAG;
GRAZZIOTIN;PN;CGRA4;ITAG;
GRENDENE;ON   NM;GRND3;IBRA,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL;
GRUPO MATEUS;ON   NM;GMAT3;AGFS,IBRA,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
GRUPO NATURA;ON   NM;NTCO3;IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,MLCX;
GRUPO SBF;ON   NM;SBFG3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
GRUPO SOMA;ON   NM;SOMA3;IBOV,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL;
GUARARAPES;ON   NM;GUAR3;GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,SMLL;
HAPVIDA;ON   NM;HAPV3;IBOV,IBRA,IBXL,IBXX,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX;
HBR REALTY;ON   NM;HBRE3;IGCX,IGNM,ITAG;
HELBOR;ON   NM;HBOR3;IGCX,IGNM,ITAG;
HIDROVIAS;ON   NM;HBSA3;AGFS,GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL;
HOME DEPOT;DRN;HOME34;BDRX;
HONDA MO;DRN;HOND34;BDRX;
HYPERA;ON   NM;HYPE3;IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX;
IGUATEMI S.A;UNT  N1;IGTI11;GPTW,IBOV,IBRA,IBXX,ICO2,IGCT,IGCX,IMOB,ITAG,SMLL;
IMC S/A;ON   NM;MEAL3;IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
INEPAR;ON;INEP3;ITAG;
INEPAR;PN;INEP4;ITAG;
INFRACOMM;ON   NM;IFCM3;GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL;
INTEL;DRN;ITLC34;BDRX;
INTELBRAS;ON   NM;INTB3;GPTW,IBRA,IGCT,IGCX,IGNM,INDX,ITAG,SMLL;
IOCHP-MAXION;ON   NM;MYPK3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL;
IRANI;ON   NM;RANI3;AGFS,GPTW,IBRA,IDIV,IGCT,IGCX,IGNM,IMAT,ISEE,ITAG,SMLL;
IRBBRASIL RE;ON   NM;IRBR3;IBOV,IBRA,IBXX,IFNC,IGCT,IGCX,IGNM,ITAG,SMLL;
ITAUSA;ON   N1;ITSA3;IGCX;
ITAUSA;PN   N1;ITSA4;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IDIV,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX;
ITAUUNIBANCO;ON   N1;ITUB3;IBRA,IFNC,IGCT,IGCX,MLCX;
ITAUUNIBANCO;PN   N1;ITUB4;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,IFNC,IGCT,IGCX,ISEE,ITAG,MLCX;
JALLESMACHAD;ON   NM;JALL3;AGFS,GPTW,IBRA,ICON,IGCT,IGCX,IGNM,ITAG,SMLL;
JBS;ON   NM;JBSS3;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ITAG,IVBX,MLCX;
JD COM;DRN;JDCO34;BDRX;
JHSF PART;ON   NM;JHSF3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,INDX,ITAG,SMLL;
JOHNSON;DRN;JNJB34;BDRX;
JPMORGAN;DRN;JPMC34;BDRX;
JSL;ON   NM;JSLG3;IGCX,IGNM,ITAG;
KEPLER WEBER;ON;KEPL3;AGFS,GPTW,IBRA,IDIV,INDX,ITAG,SMLL;
KLABIN S/A;UNT  N2;KLBN11;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,IGCT,IGCX,IMAT,INDX,ISEE,ITAG,IVBX,MLCX;
KORA SAUDE;ON   NM;KRSA3;IGCX,IGNM,ITAG;
KRAFT HEINZ;DRN;KHCB34;BDRX;
LAVVI;ON   NM;LAVV3;IBRA,ICON,IDIV,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL;
LILLY;DRN;LILY34;BDRX;
LOCALIZA;ON   NM;RENT3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ITAG,IVBX,MLCX;
LOCAWEB;ON   NM;LWSA3;GPTW,IBOV,IBRA,IBXX,IGCT,IGCX,IGNM,ITAG,IVBX,SMLL;
LOG COM PROP;ON   NM;LOGG3;IBRA,IGCT,IGCX,IGNM,IMOB,ITAG,SMLL;
LOG-IN;ON   NM;LOGN3;GPTW,IBRA,IGCT,IGCX,IGNM,ITAG,SMLL;
LOJAS RENNER;ON   NM;LREN3;IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,IVBX,MLCX;
LOPES BRASIL;ON   NM;LPSB3;IGCX,IGNM,ITAG;
LUMEN TECH;DRN;L1MN34;BDRX;
LUPATECH;ON   NM;LUPA3;IGCX,IGNM,ITAG;
M.DIASBRANCO;ON   NM;MDIA3;AGFS,IBRA,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,SMLL;
MAGAZ LUIZA;ON   NM;MGLU3;GPTW,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IGCT,IGCX,IGNM,ISEE,ITAG,MLCX;
MARCOPOLO;ON   N2;POMO3;IGCX,ITAG;
MARCOPOLO;PN   N2;POMO4;IBRA,IGCT,IGCX,INDX,ITAG,SMLL;
MARFRIG;ON   NM;MRFG3;AGFS,IBOV,IBRA,IBXL,IBXX,ICO2,ICON,IDIV,IGCT,IGCX,IGNM,INDX,ISEE,ITAG,IVBX,SMLL;
